requirement_id,requirement_title,source_type,source_id,source_title,related_topic_id,related_workflow_id,related_prompt_type,evidence_count,planning_document,safety_notes
REQ-PR-RISK_REVIEW_QUESTION-21,Support risk_review_question,research_prompt,-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,"risk_management,options_and_protection",risk_first_strategy_review_workflow,risk_review_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKSTATION_FEATURE_QUESTION-22,Support workstation_feature_question,research_prompt,-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,"backtesting_and_validation,workstation_candidate_workflow",workstation_module_candidate_workflow,workstation_feature_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKFLOW_DESIGN_QUESTION-23,Support workflow_design_question,research_prompt,-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,"backtesting_and_validation,workstation_candidate_workflow",workstation_module_candidate_workflow,workflow_design_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-RISK_REVIEW_QUESTION-24,Support risk_review_question,research_prompt,0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,risk_management,risk_first_strategy_review_workflow,risk_review_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-RISK_REVIEW_QUESTION-25,Support risk_review_question,research_prompt,0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,risk_management,risk_first_strategy_review_workflow,risk_review_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-VALIDATION_QUESTION-26,Support validation_question,research_prompt,0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,execution_and_microstructure,execution_microstructure_review_workflow,validation_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKFLOW_DESIGN_QUESTION-27,Support workflow_design_question,research_prompt,0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,execution_and_microstructure,execution_microstructure_review_workflow,workflow_design_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-RISK_REVIEW_QUESTION-28,Support risk_review_question,research_prompt,1fnvze_G8i0,#trading #trader #daytrading #finance #tradingstrategy,risk_management,risk_first_strategy_review_workflow,risk_review_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-RISK_REVIEW_QUESTION-29,Support risk_review_question,research_prompt,1fnvze_G8i0,#trading #trader #daytrading #finance #tradingstrategy,risk_management,risk_first_strategy_review_workflow,risk_review_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKFLOW_DESIGN_QUESTION-30,Support workflow_design_question,research_prompt,3lzfyR2kSO4,Get it on Instagram #trader #trading #tradingstrategy #orderflow,ai_assisted_research_workflow,ai_assisted_quant_learning_workflow,workflow_design_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKSTATION_FEATURE_QUESTION-31,Support workstation_feature_question,research_prompt,3lzfyR2kSO4,Get it on Instagram #trader #trading #tradingstrategy #orderflow,ai_assisted_research_workflow,ai_assisted_quant_learning_workflow,workstation_feature_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-RESEARCH_QUESTION-32,Support research_question,research_prompt,3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",,market_inefficiency_hypothesis_workflow,research_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-VALIDATION_QUESTION-33,Support validation_question,research_prompt,3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",,market_inefficiency_hypothesis_workflow,validation_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKFLOW_DESIGN_QUESTION-34,Support workflow_design_question,research_prompt,3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",workstation_candidate_workflow,ai_assisted_quant_learning_workflow,workflow_design_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKSTATION_FEATURE_QUESTION-35,Support workstation_feature_question,research_prompt,3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",workstation_candidate_workflow,ai_assisted_quant_learning_workflow,workstation_feature_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKSTATION_FEATURE_QUESTION-36,Support workstation_feature_question,research_prompt,3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",workstation_candidate_workflow,workstation_module_candidate_workflow,workstation_feature_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKFLOW_DESIGN_QUESTION-37,Support workflow_design_question,research_prompt,3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",workstation_candidate_workflow,workstation_module_candidate_workflow,workflow_design_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKFLOW_DESIGN_QUESTION-38,Support workflow_design_question,research_prompt,3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",trading_psychology_and_process,psychological_process_and_discipline_workflow,workflow_design_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-RESEARCH_QUESTION-39,Support research_question,research_prompt,3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",trading_psychology_and_process,psychological_process_and_discipline_workflow,research_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-RESEARCH_QUESTION-40,Support research_question,research_prompt,5U5TrY95Q30,Make institutional trader  limitations your strengths #trading #trader #daytrading #tradingstrategy,,market_inefficiency_hypothesis_workflow,research_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-VALIDATION_QUESTION-41,Support validation_question,research_prompt,5U5TrY95Q30,Make institutional trader  limitations your strengths #trading #trader #daytrading #tradingstrategy,,market_inefficiency_hypothesis_workflow,validation_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-VALIDATION_QUESTION-42,Support validation_question,research_prompt,6wDvV4cEN-o,Video out today at 11 ET #trading #trader #daytrading #orderflow #algotrading,execution_and_microstructure,execution_microstructure_review_workflow,validation_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKFLOW_DESIGN_QUESTION-43,Support workflow_design_question,research_prompt,6wDvV4cEN-o,Video out today at 11 ET #trading #trader #daytrading #orderflow #algotrading,execution_and_microstructure,execution_microstructure_review_workflow,workflow_design_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKFLOW_DESIGN_QUESTION-44,Support workflow_design_question,research_prompt,6wDvV4cEN-o,Video out today at 11 ET #trading #trader #daytrading #orderflow #algotrading,workstation_candidate_workflow,ai_assisted_quant_learning_workflow,workflow_design_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKSTATION_FEATURE_QUESTION-45,Support workstation_feature_question,research_prompt,6wDvV4cEN-o,Video out today at 11 ET #trading #trader #daytrading #orderflow #algotrading,workstation_candidate_workflow,ai_assisted_quant_learning_workflow,workstation_feature_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKSTATION_FEATURE_QUESTION-46,Support workstation_feature_question,research_prompt,6wDvV4cEN-o,Video out today at 11 ET #trading #trader #daytrading #orderflow #algotrading,workstation_candidate_workflow,workstation_module_candidate_workflow,workstation_feature_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-WORKFLOW_DESIGN_QUESTION-47,Support workflow_design_question,research_prompt,6wDvV4cEN-o,Video out today at 11 ET #trading #trader #daytrading #orderflow #algotrading,workstation_candidate_workflow,workstation_module_candidate_workflow,workflow_design_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-REPLICATION_QUESTION-48,Support replication_question,research_prompt,7VG4_sgwJC0,Day 11 dividing the data between in sample and out of sample #trader #trading #algotrading #futures,backtesting_and_validation,research_paper_to_backtest_workflow,replication_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
REQ-PR-VALIDATION_QUESTION-49,Support validation_question,research_prompt,7VG4_sgwJC0,Day 11 dividing the data between in sample and out of sample #trader #trading #algotrading #futures,backtesting_and_validation,research_paper_to_backtest_workflow,validation_question,1,HUMAN_AI_OPERATING_MODEL.md,No trading signals generated
